;author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;year_of_construction;living_meters;kitchen_meters;phone;district;street;underground;residential_complex
5753;BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/278260219/;Москва_и_др.;sale;flat;6;15;1;26.9;624535;16800000;2021;-1.0;-1.0;79660628870;Раменки;проспект Генерала Дорохова;Минская;West Garden
5754;Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/280300976/;Москва_и_др.;sale;flat;5;5;1;33.1;513595;17000000;1959;-1.0;5.0;79660505955;Пресненский;Зоологический переулок;Краснопресненская;
5755;Суламит-НГС;real_estate_agent;https://www.cian.ru/sale/flat/286943835/;Москва_и_др.;sale;flat;9;12;1;35.5;478873;17000000;1964;19.2;8.6;79660987183;Таганский;переулок Обуха;Чкаловская;
5756;Tikhomirova Estate;real_estate_agent;https://www.cian.ru/sale/flat/287590196/;Москва_и_др.;sale;flat;11;29;1;42.3;411111;17390000;2022;15.5;12.5;79645679442;Фили-Давыдково;Ивана Франко;Кунцевская;MainStreet
5757;EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/273536681/;Москва_и_др.;sale;flat;8;30;1;45.0;388888;17500000;2021;23.0;9.0;79057255794;Южнопортовый;Волгоградский проспект;Угрешская;Метрополия
5758;ПЕРСПЕКТИВА24-ЮГО-ЗАПАД;real_estate_agent;https://www.cian.ru/sale/flat/284014858/;Москва_и_др.;sale;flat;19;25;1;43.4;403225;17500000;2018;18.0;16.0;79647823780;Нижегородский;Рязанский проспект;Нижегородская;SREDA
5759;Азбука Жилья;real_estate_agent;https://www.cian.ru/sale/flat/276115058/;Москва_и_др.;sale;flat;10;11;1;50.8;344488;17500000;2017;15.0;12.0;79660275114;Лосиноостровский;Изумрудная;Бабушкинская;Изумрудная 24
5760;Etagi Prime;real_estate_agent;https://www.cian.ru/sale/flat/285346603/;Москва_и_др.;sale;flat;12;58;1;40.3;436724;17600000;2021;12.5;17.4;79645117464;Тимирязевский;Дмитровский проезд;;D1
5761;Алия Алиева;realtor;https://www.cian.ru/sale/flat/284658461/;Москва_и_др.;sale;flat;6;25;1;55.0;323636;17800000;2021;-1.0;29.0;79060422911;Чертаново Северное;Балаклавский проспект;Чертановская;
5762;Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/270281884/;Москва_и_др.;sale;flat;24;32;1;52.0;342307;17800000;2012;27.0;10.0;79651100302;Богородское;Погонный проезд;Бульвар Рокоссовского;
5763;Космополис;real_estate_agent;https://www.cian.ru/sale/flat/281670553/;Москва_и_др.;sale;flat;2;7;1;44.4;405405;18000000;2018;-1.0;-1.0;79175266701;Басманный;Нижняя Красносельская;Бауманская;Kleinhouse
5764;Монолит Столица;real_estate_agent;https://www.cian.ru/sale/flat/285550109/;Москва_и_др.;sale;flat;5;12;1;40.0;450000;18000000;1969;20.0;6.0;79660595564;Басманный;переулок Посланников;Бауманская;
5765;Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/287616415/;Москва_и_др.;sale;flat;8;14;1;40.5;451851;18300000;2020;19.0;7.0;79057195095;Савеловский;Старый Петровско-Разумовский проезд;Гражданская;Аалто
5766;Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/280637177/;Москва_и_др.;sale;flat;2;16;1;45.0;411111;18500000;2019;25.0;15.0;79645655918;Лефортово;проезд Невельского;Площадь Ильича;Символ
5767;Азбука Жилья;real_estate_agent;https://www.cian.ru/sale/flat/283820704/;Москва_и_др.;sale;flat;20;30;1;52.0;355769;18500000;2022;16.0;17.0;79162318260;Раменки;Лобачевского;Аминьевская;Крылья
5768;BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/275693958/;Москва_и_др.;sale;flat;4;21;1;45.0;422222;19000000;2020;18.0;12.3;79647823274;Алексеевский;Новоалексеевская;Алексеевская;Серебряный фонтан
5769;ID 102186409;unknown;https://www.cian.ru/sale/flat/287541492/;Москва_и_др.;sale;flat;12;29;1;42.3;449172;19000000;2022;-1.0;12.5;79151567882;Фили-Давыдково;Ивана Франко;Кунцевская;MainStreet
5770;ATLANT;real_estate_agent;https://www.cian.ru/sale/flat/287544214/;Москва_и_др.;sale;flat;2;10;1;35.0;551428;19300000;1964;17.2;7.0;79854258831;Хамовники;Комсомольский проспект;Фрунзенская;
5771;ПЕРСПЕКТИВА24-ЮГО-ЗАПАД;real_estate_agent;https://www.cian.ru/sale/flat/286998550/;Москва_и_др.;sale;flat;2;8;1;34.7;556195;19300000;1964;17.2;6.8;79169715463;Хамовники;Комсомольский проспект;Фрунзенская;
5772;Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/278855072/;Москва_и_др.;sale;flat;20;22;1;40.0;487500;19500000;2019;25.0;10.0;79645853987;Аэропорт;Черняховского;Гражданская;Черняховского 19
5773;Большой Город;real_estate_agent;https://www.cian.ru/sale/flat/287718270/;Москва_и_др.;sale;flat;10;17;1;49.7;392354;19500000;2019;14.5;19.0;79609845615;Даниловский;набережная Марка Шагала;ЗИЛ;ЗИЛАРТ
5774;DK;real_estate_agent;https://www.cian.ru/sale/flat/287699326/;Москва_и_др.;sale;flat;31;57;1;35.0;557142;19500000;2022;15.0;10.0;79661317265;Хорошево-Мневники;Народного Ополчения;Народное Ополчение;Wellton Towers
5775;Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/283144464/;Москва_и_др.;sale;flat;5;11;1;39.0;500000;19500000;2022;17.0;17.0;79660617786;Басманный;Казакова;Курская;KAZAKOV Grand Loft
5776;OPN PARTNER;real_estate_agent;https://www.cian.ru/sale/flat/284905862/;Москва_и_др.;sale;flat;6;22;1;42.0;464047;19490000;2020;-1.0;15.0;79651875925;Свиблово;Сельскохозяйственная;Ботанический сад;LIFE-Ботанический сад
5777;Монолит Столица;real_estate_agent;https://odintsovo.cian.ru/sale/flat/286935632/;Москва_и_др.;sale;flat;25;25;1;80.0;248750;19900000;2018;40.0;30.0;79160698829;;;Сколково;
5778;Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/281427530/;Москва_и_др.;sale;flat;31;31;1;44.0;450000;19800000;2022;29.0;10.0;79680405774;Раменки;Лобачевского;Мичуринский проспект;Крылья
5779;Континент-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/278906456/;Москва_и_др.;sale;flat;19;46;1;35.4;564971;20000000;2018;20.4;10.0;79660479396;Бутырский;Новодмитровская;Дмитровская;Савеловский Сити
5780;HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/281155901/;Москва_и_др.;sale;flat;20;27;1;45.6;438596;20000000;2017;20.0;11.0;79152967058;Свиблово;Лазоревый проезд;Ботанический сад;LIFE-Ботанический сад
5781;Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/285755386/;Москва_и_др.;sale;flat;2;4;1;47.0;434042;20400000;-1;-1.0;23.4;79067678075;Донской;Духовской переулок;Тульская;
5782;BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/278656986/;Москва_и_др.;sale;flat;10;12;1;37.0;554054;20500000;2019;-1.0;-1.0;79623624694;Тверской;2-я Брестская;Маяковская;Резиденция Тверская
5783;Елена Пашина;realtor;https://www.cian.ru/sale/flat/287643108/;Москва_и_др.;sale;flat;1;7;1;34.7;596541;20700000;1914;20.0;9.0;79652553546;Хамовники;Бурденко;Парк Культуры;
5784;Excellent real estate;real_estate_agent;https://www.cian.ru/sale/flat/286462948/;Москва_и_др.;sale;flat;19;59;1;39.0;538461;21000000;2021;12.0;17.0;79684691747;Тимирязевский;Дмитровский проезд;Дмитровская;D1
5785;ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/284844555/;Москва_и_др.;sale;flat;31;41;1;47.0;446808;21000000;2022;-1.0;20.5;79096653243;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;
5786;Навигатор;real_estate_agent;https://www.cian.ru/sale/flat/287322212/;Москва_и_др.;sale;flat;19;24;1;45.1;481152;21700000;2023;14.7;19.0;79660591659;Хорошевский;Хорошевское шоссе;Хорошёвская;Династия
5787;Cristall Realty;real_estate_agent;https://www.cian.ru/sale/flat/287588566/;Москва_и_др.;sale;flat;6;30;1;44.5;494157;21990000;2022;-1.0;19.5;79060969053;Раменки;Янковского;Аминьевская;Событие
5788;ID 47705286;unknown;https://www.cian.ru/sale/flat/285826436/;Москва_и_др.;sale;flat;20;42;1;41.0;536585;22000000;2022;25.0;9.0;79151545025;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
5789;Cristall Realty;real_estate_agent;https://www.cian.ru/sale/flat/287408262/;Москва_и_др.;sale;flat;4;4;1;27.0;833333;22500000;1866;17.0;5.0;79164285343;Хамовники;Волхонка;Библиотека им. Ленина;
5790;Life Style;real_estate_agent;https://www.cian.ru/sale/flat/281254800/;Москва_и_др.;sale;flat;2;6;1;33.6;663690;22300000;1931;18.6;-1.0;79660513769;Хамовники;переулок Сивцев Вражек;Смоленская;
5791;ID 413522;realtor;https://www.cian.ru/sale/flat/282494995/;Москва_и_др.;sale;flat;2;5;1;30.9;728155;22500000;1960;-1.0;-1.0;79153946614;Хамовники;Малая Пироговская;Спортивная;
5792;ID 61464660;realtor;https://www.cian.ru/sale/flat/283557363/;Москва_и_др.;sale;flat;11;26;1;58.2;386597;22500000;2008;-1.0;17.5;79652658105;Хорошевский;проезд Березовой Рощи;ЦСКА;Гранд-парк
5793;ID 27817432;homeowner;https://www.cian.ru/sale/flat/276872894/;Москва_и_др.;sale;flat;15;35;1;48.0;465625;22350000;2020;-1.0;-1.0;79652256591;Филевский парк;Береговой проезд;Шелепиха;мой адрес На Береговом
5794;Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/286634858/;Москва_и_др.;sale;flat;4;7;1;50.0;460000;23000000;1910;23.0;14.0;79660531406;Пресненский;2-я Брестская;Белорусская;
5795;Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/279689721/;Москва_и_др.;sale;flat;5;11;1;44.0;522727;23000000;2022;27.0;10.0;79152977461;Басманный;Казакова;Курская;KAZAKOV Grand Loft
5796;ДомЭль Недвижимость. Отделение на Серпуховской. 8 отдел;real_estate_agent;https://www.cian.ru/sale/flat/284364525/;Москва_и_др.;sale;flat;8;38;1;49.0;487755;23900000;2015;24.0;8.1;79647857122;Ростокино;проспект Мира;ВДНХ;Триколор
5797;TWEED;real_estate_agent;https://www.cian.ru/sale/flat/285706027/;Москва_и_др.;sale;flat;4;26;1;43.0;558139;24000000;2021;-1.0;-1.0;79199616496;Очаково-Матвеевское;Нежинская;Минская;Городские резиденции SPIRES
5798;Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/282182608/;Москва_и_др.;sale;flat;7;10;1;49.0;495918;24300000;2021;20.0;20.0;79645655918;Лефортово;проезд Невельского;Авиамоторная;Символ
5799;ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/287664251/;Москва_и_др.;sale;flat;18;25;1;47.0;531914;25000000;2023;17.0;12.0;79067003863;Даниловский;Восточная;Автозаводская;RiverSky
5800;Ашихмин и партнёры;real_estate_agent;https://www.cian.ru/sale/flat/287657451/;Москва_и_др.;sale;flat;24;25;1;38.9;642673;25000000;2017;-1.0;-1.0;79645388125;Филевский парк;Береговой проезд;Фили;Фили Град
5801;Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/279454078/;Москва_и_др.;sale;flat;10;11;1;50.0;510000;25500000;2016;25.0;14.5;79660531406;Преображенское;Краснобогатырская;Преображенская площадь;Наследие
5802;Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/287086457/;Москва_и_др.;sale;flat;2;35;1;38.0;676315;25700000;2022;13.0;20.0;79152579265;Раменки;Лобачевского;Аминьевская;Крылья
5803;PRIME;real_estate_agent;https://www.cian.ru/sale/flat/287404780/;Москва_и_др.;sale;flat;19;26;1;38.0;684210;26000000;2021;13.0;11.0;79660644026;Очаково-Матвеевское;Нежинская;Славянский бульвар;Городские резиденции SPIRES
5804;Адресат;real_estate_agent;https://www.cian.ru/sale/flat/280122613/;Москва_и_др.;sale;flat;3;9;1;45.4;572687;26000000;1976;17.4;10.2;79854669568;Хамовники;Ружейный переулок;;
5805;ID 11130039;official_representative;https://www.cian.ru/sale/flat/280150760/;Москва_и_др.;sale;flat;2;14;1;40.0;660000;26400000;1972;35.0;-1.0;79645385009;Пресненский;Большая Никитская;Баррикадная;
5806;НДВ;real_estate_agent;https://www.cian.ru/sale/flat/267797662/;Москва_и_др.;sale;flat;33;48;1;63.0;420634;26500000;2011;-1.0;15.0;79165727913;Хорошево-Мневники;проспект Маршала Жукова;Октябрьское поле;Континенталь
5807;Verges of estate;real_estate_agent;https://www.cian.ru/sale/flat/276154463/;Москва_и_др.;sale;flat;8;11;1;54.0;496296;26800000;1957;-1.0;-1.0;79166346853;Гагаринский;Дмитрия Ульянова;Академическая;
5808;Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/284950232/;Москва_и_др.;sale;flat;6;9;1;55.0;500000;27500000;1892;-1.0;-1.0;79660471123;Тверской;Самотечная;Цветной бульвар;
5809;C21 Premium Selection;real_estate_agent;https://www.cian.ru/sale/flat/285810371/;Москва_и_др.;sale;flat;4;36;1;47.0;595744;28000000;-1;18.0;21.0;79652705197;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;
5810;OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/276405072/;Москва_и_др.;sale;flat;2;6;1;38.0;736842;28000000;2016;24.6;-1.0;79167313640;Беговой;3-я Ямского Поля;Белорусская;Art Residence
5811;Chase R.E.S.;real_estate_agent;https://www.cian.ru/sale/flat/284015165/;Москва_и_др.;sale;flat;12;21;1;50.0;560000;28000000;2014;25.0;13.0;79651179647;Раменки;Мосфильмовская;Раменки;Мосфильмовский
5812;ПЕРСПЕКТИВА24-ЮГО-ЗАПАД;real_estate_agent;https://www.cian.ru/sale/flat/284548045/;Москва_и_др.;sale;flat;12;24;1;46.9;613859;28790000;2021;13.8;22.5;79168414152;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
5813;ID 13363203;unknown;https://www.cian.ru/sale/flat/285320920/;Москва_и_др.;sale;flat;3;6;1;44.0;659090;29000000;1912;25.0;6.0;79154602621;Арбат;Поварская;Арбатская;
5814;METRAGE;real_estate_agent;https://www.cian.ru/sale/flat/286931367/;Москва_и_др.;sale;flat;5;35;1;42.0;690476;29000000;2023;25.0;12.0;79639650912;Пресненский;Шмитовский проезд;Шелепиха;Headliner
5815;Cristall Realty;real_estate_agent;https://www.cian.ru/sale/flat/286597005/;Москва_и_др.;sale;flat;49;50;1;51.0;651274;33215000;2020;-1.0;18.7;79660502331;Раменки;Мичуринский проспект;Раменки;
5816;OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/282196287/;Москва_и_др.;sale;flat;3;5;1;42.0;833333;35000000;1876;-1.0;-1.0;79060436264;Тверской;Петровка;Трубная;La Rue
5817;Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/277508825/;Москва_и_др.;sale;flat;12;82;1;62.0;588709;36500000;-1;-1.0;10.0;79652462347;Пресненский;1-й Красногвардейский проезд;Деловой центр;
5818;Unique;real_estate_agent;https://www.cian.ru/sale/flat/281276075/;Москва_и_др.;sale;flat;2;22;1;46.0;799105;36758840;2020;-1.0;-1.0;79099972681;Академический;Новочеремушкинская;Академическая;Новочеремушкинская 17
5819;ID 50845100;homeowner;https://www.cian.ru/sale/flat/285948151/;Москва_и_др.;sale;flat;20;40;1;40.5;906172;36700000;2021;-1.0;-1.0;79623694708;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
5820;ГАЛЕРЕЯ;real_estate_agent;https://www.cian.ru/sale/flat/287063707/;Москва_и_др.;sale;flat;31;75;1;51.0;725490;37000000;2020;-1.0;-1.0;79057289277;Пресненский;1-й Красногвардейский проезд;Тестовская;NEVA TOWERS
5821;PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/275371141/;Москва_и_др.;sale;flat;2;16;1;49.0;795918;39000000;2017;-1.0;-1.0;79152503815;Раменки;Воробьевское шоссе;Студенческая;Воробьёв Дом
5822;PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/282789032/;Москва_и_др.;sale;flat;3;7;1;69.2;606936;42000000;2016;-1.0;-1.0;79660615316;Замоскворечье;Садовническая;Новокузнецкая;Wine House
5823;EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/272501494/;Москва_и_др.;sale;flat;5;7;1;62.0;725806;45000000;2014;47.0;10.0;79067786797;Хамовники;Комсомольский проспект;Спортивная;Clerkenwell House
5824;Etagi Prime;real_estate_agent;https://www.cian.ru/sale/flat/286623081/;Москва_и_др.;sale;flat;6;12;1;77.6;708762;55000000;2019;-1.0;10.0;79152237391;Тверской;2-я Брестская;;Резиденция Тверская
5825;САДОВЫЕ КВАРТАЛЫ. Офис продаж;real_estate_agent;https://www.cian.ru/sale/flat/286816027/;Москва_и_др.;sale;flat;5;14;1;61.97;919799;57000000;2022;19.9;23.4;79153701347;Хамовники;Усачева;Спортивная;Садовые кварталы
5826;Mosaic Realty;real_estate_agent;https://www.cian.ru/sale/flat/282307927/;Москва_и_др.;sale;flat;2;16;1;50.0;1200000;60000000;2007;36.0;9.0;79661865523;Якиманка;Большая Якиманка;Полянка;Коперник
5827;ID 413522;realtor;https://www.cian.ru/sale/flat/287395859/;Москва_и_др.;sale;flat;6;13;1;71.1;983122;69900000;2019;37.1;12.8;79150579850;Хамовники;Усачева;Спортивная;Садовые кварталы
5828;Самолет Плюс Москва;real_estate_agent;https://www.cian.ru/sale/flat/285458311/;Москва_и_др.;sale;flat;8;17;1;46.7;233404;10900000;2014;16.0;6.9;79660638799;;;Коммунарка;
5829;Мир Недвижимости;real_estate_agent;https://dmitrov.cian.ru/sale/flat/279241505/;Москва_и_др.;sale;flat;2;2;1;33.0;27242;899000;-1;-1.0;11.6;79168169662;Дмитровский  пос. Татищево;2/2 этаж. Кадастровый 50:04:0130503:398;;
5830;ID 101208079;homeowner;https://www.cian.ru/sale/flat/285249577/;Москва_и_др.;sale;flat;3;3;1;37.2;41666;1550000;1980;17.1;8.1;79645662113;;;;
5831;Мой Дом - отделение Добрынинское;real_estate_agent;https://serpukhov.cian.ru/sale/flat/287670163/;Москва_и_др.;sale;flat;4;4;1;38.0;46052;1750000;1988;17.0;9.0;79660617252;;;;
5832;АЯКС Воскресенск;real_estate_agent;https://www.cian.ru/sale/flat/286205649/;Москва_и_др.;sale;flat;1;2;1;32.0;65625;2100000;1966;18.0;6.0;79623638927;в Воскресенском е;до города 15 минут на общественном транспорте (автобус). В поселке располагается детский сад;;
5833;Новый адрес;real_estate_agent;https://kashira.cian.ru/sale/flat/285049899/;Москва_и_др.;sale;flat;5;5;1;29.0;79310;2300000;1978;16.0;6.0;79663549305;;;;
5834;Новый адрес;real_estate_agent;https://www.cian.ru/sale/flat/273011437/;Москва_и_др.;sale;flat;2;3;1;33.5;73134;2450000;1979;15.8;8.9;79663201969;;;;
5835;АРТАМОН - недвижимость;real_estate_agent;https://solnechnogorsk.cian.ru/sale/flat/283896392/;Москва_и_др.;sale;flat;4;4;1;35.5;70422;2500000;-1;22.0;9.0;79851887910;;;;
5836;ДОМ.RU Коломна;real_estate_agent;https://kolomna.cian.ru/sale/flat/285546432/;Москва_и_др.;sale;flat;5;5;1;25.0;106000;2650000;1977;-1.0;5.0;79660585357;;;;
5837;КварталСити;real_estate_agent;https://dmitrov.cian.ru/sale/flat/285283521/;Москва_и_др.;sale;flat;2;5;1;29.8;90604;2700000;1966;15.2;6.6;79099988468;;;;
5838;Землемер;real_estate_agent;https://www.cian.ru/sale/flat/287392065/;Москва_и_др.;sale;flat;2;3;1;25.0;111600;2790000;2013;-1.0;6.0;79175004163;;;;
5839;АЯКС Воскресенск;real_estate_agent;https://ramenskoye.cian.ru/sale/flat/286205627/;Москва_и_др.;sale;flat;1;5;1;34.0;82352;2800000;1984;18.0;9.0;79851630562;;;;
5840;МОНОЛИТ;real_estate_agent;https://chekhov.cian.ru/sale/flat/287706020/;Москва_и_др.;sale;flat;5;5;1;27.8;102517;2850000;1971;19.0;6.0;79660589725;;;;
5841;ДОМ.RU Коломна;real_estate_agent;https://kolomna.cian.ru/sale/flat/283898035/;Москва_и_др.;sale;flat;4;5;1;25.0;114000;2850000;1976;-1.0;8.0;79660585357;;;;
5842;ЖИЛФОНД;real_estate_agent;https://likino-dulyovo.cian.ru/sale/flat/273007949/;Москва_и_др.;sale;flat;4;9;1;36.0;80555;2900000;1986;18.0;9.0;79629217530;;;;
5843;ДОМ.RU Коломна;real_estate_agent;https://kolomna.cian.ru/sale/flat/284354695/;Москва_и_др.;sale;flat;4;5;1;32.0;93718;2999000;1978;-1.0;6.0;79660585357;;;;
5844;ГОРОБМЕН;real_estate_agent;https://chekhov.cian.ru/sale/flat/286028399/;Москва_и_др.;sale;flat;3;5;1;21.0;142857;3000000;2015;12.0;4.0;79660480364;;;;
5845;АРГУМЕНТ;real_estate_agent;https://stupino.cian.ru/sale/flat/286388363/;Москва_и_др.;sale;flat;5;5;1;32.2;96242;3099000;1964;18.0;6.0;79856942715;;;;
5846;ДОМ.RU Коломна;real_estate_agent;https://kolomna.cian.ru/sale/flat/279932201/;Москва_и_др.;sale;flat;5;5;1;31.0;100000;3100000;1974;-1.0;6.0;79660585357;;;;
5847;Быстров Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/287632631/;Москва_и_др.;sale;flat;1;3;1;30.0;105000;3150000;2014;16.0;8.5;79688205256;;;;
5848;Гарант плюс;real_estate_agent;https://balashikha.cian.ru/sale/flat/284840968/;Москва_и_др.;sale;flat;1;15;1;18.1;176795;3200000;2004;-1.0;-1.0;79162322596;;;;
5849;Портал Недвижимости;real_estate_agent;https://serpukhov.cian.ru/sale/flat/283452854/;Москва_и_др.;sale;flat;3;5;1;31.0;103225;3200000;1973;17.0;6.0;79154384030;;;;
5850;АЯКС Воскресенск;real_estate_agent;https://ramenskoye.cian.ru/sale/flat/286205642/;Москва_и_др.;sale;flat;3;5;1;30.7;110749;3400000;1972;18.0;6.0;79623638927;;;;
5851;ID 15884115;homeowner;https://solnechnogorsk.cian.ru/sale/flat/287125579/;Москва_и_др.;sale;flat;1;3;1;26.7;129213;3450000;2016;-1.0;-1.0;79660545092;;;Комсомольская;
5852;АЯКС Воскресенск;real_estate_agent;https://ramenskoye.cian.ru/sale/flat/286205634/;Москва_и_др.;sale;flat;3;5;1;34.0;102941;3500000;-1;18.0;9.0;79851630562;;;;
5853;ID 101190392;real_estate_agent;https://serpukhov.cian.ru/sale/flat/285558269/;Москва_и_др.;sale;flat;2;3;1;39.6;89000;3524400;2022;20.2;10.0;79645530676;;;;
5854;Фаворит. офис 1;real_estate_agent;https://solnechnogorsk.cian.ru/sale/flat/283146634/;Москва_и_др.;sale;flat;4;5;1;30.0;116666;3500000;1971;17.0;6.0;79162395110;;;;
5855;АРГУМЕНТ;real_estate_agent;https://www.cian.ru/sale/flat/271163736/;Москва_и_др.;sale;flat;2;3;1;28.7;125435;3600000;2013;-1.0;9.0;79852535976;;;;
5856;Инком-Недвижимость. Новостройки;real_estate_agent;https://serpukhov.cian.ru/sale/flat/284539454/;Москва_и_др.;sale;flat;2;3;1;38.2;95130;3634000;2022;-1.0;-1.0;79660516078;;;;
5857;Гарант плюс;real_estate_agent;https://balashikha.cian.ru/sale/flat/271302580/;Москва_и_др.;sale;flat;1;15;1;20.7;176328;3650000;2004;20.7;-1.0;79647813402;;;;
5858;АЯКС Воскресенск;real_estate_agent;https://voskresensk.cian.ru/sale/flat/286205629/;Москва_и_др.;sale;flat;2;5;1;34.0;108529;3690000;1977;18.0;9.0;79851630562;;;;
5859;Сто Ключей - офис Воскресенск. ул.Менделеева д.1;real_estate_agent;https://voskresensk.cian.ru/sale/flat/282189317/;Москва_и_др.;sale;flat;5;9;1;33.0;110606;3650000;1973;18.0;8.7;79162101904;;;;
5860;Фаворит. офис 1;real_estate_agent;https://solnechnogorsk.cian.ru/sale/flat/285638210/;Москва_и_др.;sale;flat;5;5;1;29.0;125862;3650000;1965;17.0;6.0;79162395110;;;;
5861;ЗелАН;real_estate_agent;https://zvenigorod.cian.ru/sale/flat/283260598/;Москва_и_др.;sale;flat;13;18;1;38.0;97368;3700000;2022;16.6;8.2;79157201566;;;;
5862;МИЭЛЬ офис В Солнечногорске;real_estate_agent;https://solnechnogorsk.cian.ru/sale/flat/285990182/;Москва_и_др.;sale;flat;13;17;1;42.0;88095;3700000;2021;17.0;9.0;79660629110;;;;
5863;АГАТА КРИСТИ;real_estate_agent;https://balashikha.cian.ru/sale/flat/286340631/;Москва_и_др.;sale;flat;2;9;1;20.9;179425;3750000;1984;10.9;5.0;79850668964;;;;
5864;АРТАМОН - недвижимость;real_estate_agent;https://solnechnogorsk.cian.ru/sale/flat/287284381/;Москва_и_др.;sale;flat;4;5;1;30.0;126000;3780000;1972;15.1;6.6;79851887910;;;;
5865;ID 101190392;real_estate_agent;https://serpukhov.cian.ru/sale/flat/285558257/;Москва_и_др.;sale;flat;2;3;1;44.0;86000;3784000;2022;12.2;16.3;79645530676;;;;
5866;МИЭЛЬ офис В Солнечногорске;real_estate_agent;https://solnechnogorsk.cian.ru/sale/flat/284495633/;Москва_и_др.;sale;flat;1;5;1;30.0;125000;3750000;1966;18.0;5.0;79150520565;;;;
5867;Reliz Студия недвижимости;real_estate_agent;https://naro-fominsk.cian.ru/sale/flat/285739963/;Москва_и_др.;sale;flat;5;5;1;38.5;98701;3800000;1981;19.6;9.0;79660507611;;;;
5868;ID 18096781;homeowner;https://lytkarino.cian.ru/sale/flat/284994320/;Москва_и_др.;sale;flat;2;5;1;29.3;129692;3800000;-1;15.7;6.7;79151645038;;;Котельники;
5869;ID 103392134;homeowner;https://dubna.cian.ru/sale/flat/287703909/;Москва_и_др.;sale;flat;9;9;1;29.0;131034;3800000;1977;17.5;5.3;79645631878;;;;
5870;Ольга Кокорева;realtor;https://klin.cian.ru/sale/flat/287498018/;Москва_и_др.;sale;flat;1;5;1;29.6;128378;3800000;1969;15.1;6.7;79153444102;;;;
5871;ВСЁ ПРОСТО;real_estate_agent;https://losino-petrovskiy.cian.ru/sale/flat/286400476/;Москва_и_др.;sale;flat;9;14;1;32.8;117378;3850000;2008;18.0;6.0;79162192268;;;;
5872;Этажи Клин;real_estate_agent;https://klin.cian.ru/sale/flat/286962294/;Москва_и_др.;sale;flat;2;10;1;40.2;97014;3900000;2021;-1.0;-1.0;79060276215;;;;
5873;ID 101190392;real_estate_agent;https://serpukhov.cian.ru/sale/flat/285558284/;Москва_и_др.;sale;flat;1;3;1;51.7;76000;3929200;2022;16.0;18.6;79645530676;;;;
5874;ЛэндЛ;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/285346839/;Москва_и_др.;sale;flat;4;5;1;18.1;220939;3999000;1969;9.1;4.0;79853569774;;;;
5875;Метражи group;real_estate_agent;https://vidnoye.cian.ru/sale/flat/286235302/;Москва_и_др.;sale;flat;2;9;1;25.77;155219;4000000;2021;16.0;2.2;79660640635;;;;
5876;ИПОМАКС;real_estate_agent;https://odintsovo.cian.ru/sale/flat/286185581/;Москва_и_др.;sale;flat;1;9;1;37.2;107526;4000000;1977;18.0;9.3;79660479203;;;;
5877;ЕГСН Продажа;real_estate_agent;https://ramenskoye.cian.ru/sale/flat/286821618/;Москва_и_др.;sale;flat;1;5;1;30.8;129870;4000000;1974;19.0;6.0;79099972861;;;;
